Date,Matchid,Team,TeamId,Opposition,Oppositionid,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
20/12/2018,1003210,Al-Faisaly,6777,Al-Wahda,6847,82,97,115,18,7,4,202,2018,92,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,19,19,16,12,2,5,7,3,2,0,0,19,0,1,0,1,1,1,0,2,3,1,0,7,0,2,0,0,14,2,71.21%,96.34%,92.78%,86.09%,374,2,100.00%,4,25.00%,4,50.00%,10,90.00%,0
21/09/2018,1003125,Al-Faisaly,6777,Ohod,9624,59,136,113,17,20,3,202,2018,152,21,5,0,0,0,0,0,1,1,3,2,4,0,1,0,1,5,0,15,25,14,14,8,5,8,10,1,0,0,24,0,1,0,0,1,0,0,2,3,0,0,10,0,2,0,0,16,4,70.52%,96.61%,89.71%,92.04%,421,5,40.00%,2,100.00%,12,66.67%,8,100.00%,0
05/10/2018,1003142,Al-Faisaly,6777,Al-Ahli,6770,71,94,104,13,5,3,202,2018,87,14,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,6,0,9,26,27,16,3,7,3,2,0,1,0,24,0,2,0,1,1,0,0,0,2,0,0,4,0,0,0,0,13,3,68.94%,94.37%,89.36%,91.35%,349,3,66.67%,2,100.00%,7,71.43%,7,100.00%,0
14/09/2018,1003115,Al-Faisaly,6777,Al-Nassr,6780,39,66,61,10,8,2,202,2018,75,11,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,14,23,25,16,4,6,6,7,7,0,1,18,0,1,0,2,1,2,0,0,3,0,0,6,0,0,0,0,11,5,66.39%,97.44%,83.33%,83.61%,238,2,100.00%,2,50.00%,7,71.43%,4,100.00%,0
19/10/2018,1003148,Al-Faisaly,6777,Al-Taawon,6778,71,98,122,15,8,2,202,2018,103,6,2,0,0,0,0,0,0,0,3,1,3,1,0,0,0,5,0,22,16,13,13,1,4,2,7,1,0,0,16,0,1,0,1,0,1,0,0,2,0,0,7,0,1,1,0,16,1,68.87%,94.37%,88.78%,90.16%,381,2,50.00%,7,42.86%,13,61.54%,7,85.71%,0
24/11/2018,1003179,Al-Faisaly,6777,Al-Hilal,1317,40,61,58,13,5,4,202,2018,84,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,0,15,19,20,22,2,13,2,7,3,0,0,18,0,3,0,3,1,1,0,0,3,1,0,4,0,0,0,0,10,3,59.09%,95.00%,72.13%,82.76%,201,5,40.00%,2,50.00%,11,27.27%,4,100.00%,0
08/11/2018,1003169,Al-Faisaly,6777,Al-Shabab,6774,70,135,130,9,6,3,202,2018,131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,29,26,10,4,3,5,1,2,0,0,26,0,2,0,1,1,0,0,1,2,1,0,5,0,1,0,0,8,3,69.13%,97.14%,89.63%,93.08%,426,4,0.00%,2,50.00%,1,100.00%,10,100.00%,0
28/01/2019,1003236,Al-Faisaly,6777,Al-Baten,9623,60,121,103,18,10,2,202,2018,140,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,18,16,13,5,10,8,3,0,1,0,16,0,1,0,2,0,0,1,0,1,1,0,9,0,0,0,0,7,3,62.50%,95.00%,91.74%,85.44%,356,3,33.33%,8,50.00%,4,75.00%,9,100.00%,0
24/10/2018,1003265,Al-Faisaly,6777,Al-Raed,6773,73,117,111,21,11,1,202,2018,116,15,1,0,0,0,0,0,1,1,1,2,2,0,0,0,1,5,0,10,31,21,16,3,4,13,1,2,0,0,28,0,3,0,4,0,2,0,0,4,1,0,11,0,1,2,0,9,4,65.60%,95.89%,88.89%,92.79%,375,2,50.00%,5,40.00%,8,62.50%,7,100.00%,0
31/08/2018,1003107,Al-Fateh,6772,Al-Quadisiya,6775,51,94,117,8,6,4,202,2018,119,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,12,13,11,0,8,1,4,2,0,0,11,0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,8,5,68.42%,94.12%,92.55%,89.74%,331,2,50.00%,7,85.71%,8,25.00%,9,100.00%,0
13/09/2018,1003112,Al-Fateh,6772,Al-Wahda,6847,29,64,70,13,5,3,202,2018,119,18,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,9,16,14,19,3,11,5,7,3,0,0,13,0,2,0,1,2,0,0,1,3,0,0,6,0,0,0,0,14,4,64.17%,100.00%,89.06%,91.43%,241,1,0.00%,8,62.50%,14,50.00%,3,100.00%,0
20/02/2019,1003264,Al-Fateh,6772,Al-Ahli,6770,48,72,67,21,11,0,202,2018,164,27,3,1,0,0,0,0,0,0,2,0,1,0,1,0,1,5,0,20,23,19,14,3,9,5,7,2,0,0,22,0,3,0,6,0,0,0,3,4,2,0,9,0,0,0,0,12,1,62.00%,87.50%,87.50%,91.04%,265,2,100.00%,4,75.00%,9,44.44%,1,100.00%,0
22/11/2018,1003176,Al-Fateh,6772,Ohod,9624,56,73,92,17,11,3,202,2018,89,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,24,17,16,19,3,8,11,7,2,0,0,16,0,2,0,3,0,2,0,0,4,0,0,16,0,1,0,0,10,1,66.91%,92.86%,90.41%,81.52%,292,1,100.00%,6,50.00%,10,60.00%,1,100.00%,0
10/01/2019,1003226,Al-Fateh,6772,Al-Wahda,6847,43,60,86,21,13,2,202,2018,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,14,18,26,6,10,5,5,3,1,0,22,0,2,0,2,0,2,0,2,6,0,0,8,0,4,0,0,15,5,66.41%,93.02%,83.33%,87.21%,259,2,0.00%,2,50.00%,14,35.71%,3,100.00%,0
13/12/2018,1003201,Al-Fateh,6772,Al-Faisaly,6777,60,84,90,17,7,2,202,2018,143,30,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,4,0,14,25,23,12,4,8,8,5,1,0,0,22,0,0,0,1,1,0,2,1,3,0,0,3,0,1,0,0,10,5,65.97%,86.67%,88.10%,85.56%,307,0,0.00%,10,20.00%,7,57.14%,0,0.00%,0
09/03/2019,1003283,Al-Fateh,6772,Al-Baten,9623,64,101,119,8,15,2,202,2018,161,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,29,27,12,12,10,3,5,0,0,0,24,0,0,0,2,0,0,0,3,2,1,0,7,0,1,0,0,7,1,61.11%,96.88%,82.18%,92.44%,387,3,33.33%,4,0.00%,3,33.33%,4,100.00%,0
19/10/2018,1003149,Al-Fateh,6772,Al-Raed,6773,50,78,76,15,15,8,202,2018,99,23,1,0,0,0,0,0,2,2,3,2,3,1,0,0,2,8,0,13,21,32,16,7,7,12,7,1,0,0,18,0,1,0,3,1,2,0,2,5,0,0,12,0,1,0,0,10,6,65.03%,84.00%,84.62%,86.84%,283,3,33.33%,6,66.67%,9,77.78%,5,100.00%,0
08/12/2018,1003197,Al-Fateh,6772,Al-Hazm,6846,54,73,77,8,11,2,202,2018,78,11,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,9,23,19,20,4,7,6,0,4,0,0,24,0,2,0,3,1,3,0,0,5,0,0,10,0,1,0,0,10,2,57.14%,96.30%,72.60%,80.52%,264,1,0.00%,5,60.00%,5,40.00%,5,100.00%,0
14/02/2019,1003258,Al-Fateh,6772,Al-Feiha,10483,39,61,74,7,14,4,202,2018,103,18,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,3,0,15,24,22,18,5,12,7,6,0,0,0,22,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,9,3,54.03%,92.31%,78.69%,67.57%,208,0,0.00%,8,62.50%,12,16.67%,3,100.00%,0
09/02/2019,1003248,Al-Fateh,6772,Al-Shabab,6774,45,52,83,10,10,2,202,2018,121,20,2,0,0,0,0,0,0,0,1,1,3,1,0,0,0,7,0,19,15,18,13,3,10,9,6,0,0,0,12,0,1,0,2,0,0,0,1,1,1,0,6,0,0,0,0,9,3,46.15%,91.11%,88.46%,79.52%,230,1,100.00%,7,28.57%,12,50.00%,3,100.00%,0
28/12/2018,1003323,Al-Fateh,6772,Al-Nassr,6780,37,57,57,17,21,3,202,2018,131,18,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,18,17,17,18,6,6,9,4,3,0,0,17,0,2,0,3,1,3,0,1,5,1,0,7,2,0,0,0,10,3,62.69%,91.89%,80.70%,89.47%,224,1,0.00%,8,25.00%,7,57.14%,2,100.00%,0
08/11/2018,1003168,Al-Fateh,6772,Al-Baten,9623,55,110,124,11,8,2,202,2018,133,21,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,15,17,24,16,6,4,5,4,0,0,0,16,0,0,0,0,0,2,0,0,2,0,0,9,0,2,0,0,8,3,58.04%,96.36%,83.64%,86.29%,347,5,60.00%,5,80.00%,12,58.33%,3,100.00%,0
01/12/2018,1003291,Al-Fateh,6772,Al-Taawon,6778,45,50,64,14,8,2,202,2018,64,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,14,15,13,14,6,5,6,2,0,0,0,13,0,2,0,1,0,2,0,2,6,0,0,10,0,5,0,0,12,3,46.15%,88.89%,84.00%,82.81%,206,0,0.00%,4,25.00%,7,57.14%,3,100.00%,0
28/02/2019,1003277,Al-Fateh,6772,Ohod,9624,31,52,72,14,27,3,202,2018,97,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,21,26,16,4,13,6,8,4,0,1,20,0,0,0,0,0,0,0,1,1,0,0,14,0,1,1,0,4,4,52.34%,93.55%,75.00%,88.89%,206,3,0.00%,2,50.00%,9,44.44%,4,100.00%,0
24/09/2018,1003128,Al-Fateh,6772,Al-Hilal,1317,24,32,33,8,4,2,202,2018,48,6,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,3,0,9,15,19,20,5,13,4,7,1,0,0,16,0,4,0,1,2,0,0,0,4,0,0,7,0,1,0,0,16,6,38.16%,95.83%,93.75%,87.88%,118,0,0.00%,6,33.33%,14,28.57%,2,100.00%,0
20/09/2018,1003121,Al-Fateh,6772,Al-Shabab,6774,44,83,79,4,2,0,202,2018,93,15,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,3,0,11,18,19,12,1,3,5,6,2,0,0,17,0,5,1,2,0,1,0,2,8,0,0,9,0,5,0,0,15,3,68.07%,90.91%,81.93%,87.34%,266,4,50.00%,6,66.67%,7,14.29%,5,100.00%,0
14/03/2019,1003186,Al-Fateh,6772,Al-Taawon,6778,35,41,47,17,7,0,202,2018,54,11,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,5,0,10,12,23,15,9,8,8,9,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,4,40.00%,88.57%,73.17%,78.72%,159,0,0.00%,5,40.00%,14,42.86%,2,50.00%,0
21/12/2018,1003208,Al-Fateh,6772,Al-Ittifaq,5680,38,96,83,16,17,3,202,2018,90,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,14,20,24,7,15,9,8,1,0,0,16,0,0,0,1,0,1,1,1,2,1,0,4,0,2,0,0,7,3,61.31%,92.11%,88.54%,87.95%,290,0,0.00%,4,50.00%,8,50.00%,3,100.00%,0
27/01/2019,1003233,Al-Fateh,6772,Al-Quadisiya,6775,43,78,87,17,11,1,202,2018,110,35,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,6,0,23,15,17,16,8,11,7,7,0,0,0,13,0,0,0,0,0,2,0,0,2,0,0,12,1,1,0,0,7,1,60.74%,97.67%,80.77%,94.25%,287,1,100.00%,10,50.00%,7,42.86%,8,100.00%,0
04/10/2018,1003136,Al-Fateh,6772,Al-Ittihad,1316,45,70,79,13,8,0,202,2018,105,17,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,6,0,10,17,21,17,6,3,6,3,4,0,0,15,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,7,4,65.55%,93.33%,91.43%,86.08%,268,2,100.00%,3,100.00%,8,75.00%,1,100.00%,0
01/11/2018,1003160,Al-Fateh,6772,Al-Feiha,10483,52,101,111,18,8,1,202,2018,113,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,14,14,18,18,5,11,8,6,0,0,0,10,0,1,0,1,0,1,0,1,1,0,1,4,0,2,0,0,7,1,62.86%,92.31%,90.10%,91.89%,342,0,0.00%,4,75.00%,4,75.00%,5,100.00%,0
04/02/2019,1003243,Al-Fateh,6772,Al-Hilal,1317,30,53,59,13,5,4,202,2018,83,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,18,17,24,23,4,9,8,3,3,0,0,19,0,1,0,1,1,1,0,0,2,0,0,7,0,0,0,0,13,5,58.51%,96.67%,75.47%,77.97%,183,0,0.00%,8,25.00%,5,80.00%,7,100.00%,0
25/10/2018,1003159,Al-Fateh,6772,Al-Ahli,6770,50,75,85,9,9,1,202,2018,92,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,13,18,15,11,7,1,3,1,1,0,0,18,0,4,0,2,3,1,2,0,5,1,1,5,0,2,0,0,19,1,59.82%,92.00%,84.00%,89.41%,267,0,0.00%,2,0.00%,9,33.33%,6,100.00%,0
14/12/2018,1003205,Al-Feiha,10483,Al-Taawon,6778,35,66,63,12,10,2,202,2018,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,6,13,14,5,3,9,3,0,0,0,5,0,2,0,0,2,0,0,0,2,0,0,5,0,0,0,0,11,3,51.22%,91.43%,87.88%,87.30%,218,0,0.00%,3,66.67%,11,54.55%,2,100.00%,0
11/01/2019,1003229,Al-Feiha,10483,Al-Shabab,6774,51,105,99,14,14,1,202,2018,142,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,27,13,11,3,9,4,4,2,0,0,23,0,2,1,3,0,1,0,1,3,1,0,8,0,0,1,0,15,2,71.43%,98.04%,81.90%,89.90%,344,1,0.00%,4,25.00%,9,44.44%,4,100.00%,0
06/12/2018,1003193,Al-Feiha,10483,Al-Baten,9623,56,127,143,18,9,0,202,2018,154,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,25,13,17,5,2,5,0,0,0,0,22,0,1,0,2,0,0,0,1,1,1,0,3,0,0,0,0,8,2,66.67%,92.86%,90.55%,87.41%,403,2,100.00%,5,40.00%,1,0.00%,6,100.00%,0
22/11/2018,1003276,Al-Feiha,10483,Al-Hazm,6846,36,70,78,2,6,3,202,2018,94,12,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,0,19,17,23,18,11,9,7,3,0,0,0,17,0,2,0,2,1,2,0,1,4,1,0,7,2,0,0,0,11,3,54.89%,80.56%,80.00%,93.59%,239,3,0.00%,4,25.00%,9,11.11%,2,100.00%,0
23/02/2019,1003269,Al-Feiha,10483,Al-Nassr,6780,45,64,75,16,16,2,202,2018,77,20,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,15,19,20,22,2,6,11,6,1,0,0,19,0,2,0,0,0,0,0,0,2,0,0,7,0,2,0,0,8,8,55.28%,95.56%,87.50%,90.67%,250,2,0.00%,5,40.00%,10,80.00%,3,100.00%,0
27/12/2018,1003217,Al-Feiha,10483,Al-Faisaly,6777,34,53,80,11,10,2,202,2018,71,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,11,23,21,3,5,4,2,1,0,0,10,0,0,0,0,1,0,0,1,1,0,0,7,0,0,0,0,7,7,59.02%,97.06%,84.91%,91.25%,232,2,50.00%,7,28.57%,10,60.00%,2,100.00%,0
22/12/2018,1003212,Al-Feiha,10483,Ohod,9624,39,66,75,13,15,0,202,2018,108,19,1,0,0,0,0,0,1,2,2,2,2,1,0,0,1,4,0,17,16,24,19,3,3,16,6,1,0,0,16,0,2,0,3,0,1,0,0,3,0,0,6,0,0,0,0,11,2,57.36%,84.62%,75.76%,78.67%,225,1,100.00%,11,54.55%,14,35.71%,2,100.00%,0
21/09/2018,1003123,Al-Feiha,10483,Al-Ittifaq,5680,39,80,75,9,7,1,202,2018,86,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,27,24,19,18,9,10,5,13,1,0,2,19,0,0,0,0,2,2,1,0,3,0,0,7,0,1,0,0,13,2,60.00%,87.18%,92.50%,89.33%,259,1,0.00%,10,50.00%,8,37.50%,5,100.00%,0
04/10/2018,1003138,Al-Feiha,10483,Al-Raed,6773,39,88,86,18,14,2,202,2018,93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,15,15,13,2,3,9,3,2,0,1,15,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,14,1,62.62%,92.31%,87.50%,90.70%,265,1,0.00%,2,50.00%,8,50.00%,2,100.00%,0
14/09/2018,1003116,Al-Feiha,10483,Al-Shabab,6774,38,64,61,7,6,0,202,2018,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,20,15,18,6,7,7,3,1,0,0,18,0,3,0,0,2,0,0,0,2,0,1,6,0,1,0,0,11,3,52.03%,94.74%,79.69%,81.97%,206,2,50.00%,5,20.00%,9,22.22%,2,100.00%,0
01/11/2018,1003160,Al-Feiha,10483,Al-Fateh,6772,41,107,98,12,8,0,202,2018,83,14,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,3,0,18,18,14,14,6,7,11,6,0,0,0,17,0,1,0,2,0,2,0,0,3,0,0,9,0,1,0,0,6,4,56.56%,87.80%,85.98%,91.84%,296,2,100.00%,4,50.00%,9,44.44%,5,100.00%,0
02/02/2019,1003240,Al-Feiha,10483,Al-Quadisiya,6775,62,103,91,11,6,1,202,2018,59,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,11,22,16,15,4,6,13,2,0,0,1,19,0,2,0,2,0,1,0,1,3,1,0,7,0,2,1,1,10,3,56.76%,96.77%,85.44%,94.51%,327,2,0.00%,3,0.00%,9,55.56%,4,100.00%,0
14/02/2019,1003258,Al-Feiha,10483,Al-Fateh,6772,75,107,125,13,15,1,202,2018,112,16,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,6,0,18,22,24,15,6,6,12,6,1,0,0,18,0,2,0,2,0,1,0,0,3,0,0,8,0,1,0,0,9,4,67.98%,93.33%,89.72%,87.20%,430,3,66.67%,6,0.00%,9,55.56%,6,100.00%,0
28/09/2018,1003133,Al-Feiha,10483,Al-Quadisiya,6775,41,51,66,5,5,1,202,2018,74,9,2,0,0,0,0,0,0,0,4,4,4,1,0,0,3,7,0,10,19,25,18,8,8,5,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,5,51.82%,90.24%,84.31%,72.73%,193,2,100.00%,4,25.00%,6,50.00%,1,100.00%,0
18/10/2018,1003146,Al-Feiha,10483,Al-Wahda,6847,72,100,98,13,11,4,202,2018,133,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,25,20,18,3,7,11,5,4,0,0,26,0,3,0,1,3,1,0,1,3,2,0,6,1,0,0,0,10,2,64.38%,94.44%,93.00%,82.65%,346,1,0.00%,7,28.57%,3,33.33%,6,100.00%,0
27/01/2019,1003237,Al-Feiha,10483,Al-Hilal,1317,58,61,74,11,11,1,202,2018,85,8,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,3,0,16,13,25,15,2,13,2,5,6,0,0,14,0,2,0,1,2,0,0,2,3,1,0,4,0,1,0,0,16,0,49.57%,96.55%,81.97%,83.78%,237,2,100.00%,1,0.00%,10,60.00%,4,100.00%,0
02/03/2019,1003177,Al-Feiha,10483,Al-Hazm,6846,38,67,62,17,14,1,202,2018,88,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,0,24,24,14,19,9,6,12,2,2,0,0,19,0,1,0,0,1,0,0,1,2,0,0,9,0,1,0,0,6,5,62.03%,97.37%,85.07%,85.48%,263,3,66.67%,7,42.86%,13,69.23%,7,100.00%,0
31/08/2018,1003108,Al-Feiha,10483,Al-Hilal,1317,17,49,46,7,3,4,202,2018,48,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,17,18,24,27,9,8,4,4,1,0,2,20,0,1,0,0,0,0,0,0,1,0,0,6,0,1,0,0,11,4,49.37%,88.24%,87.76%,84.78%,149,1,0.00%,5,20.00%,15,60.00%,3,100.00%,0
10/11/2018,1003172,Al-Feiha,10483,Al-Ittihad,1316,31,64,78,15,8,2,202,2018,76,14,0,0,0,0,0,0,1,1,2,1,1,1,0,0,2,3,0,15,17,15,21,6,6,11,6,3,0,0,17,0,3,0,3,0,1,1,0,5,0,0,5,0,2,0,0,13,4,44.76%,90.32%,82.81%,82.05%,203,2,50.00%,5,60.00%,14,35.71%,2,100.00%,0
08/03/2019,1003286,Al-Feiha,10483,Al-Ittihad,1316,28,55,66,17,16,3,202,2018,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,21,32,18,4,10,9,8,3,0,0,21,0,4,0,1,1,0,0,0,4,0,0,7,0,2,0,0,14,2,54.92%,89.29%,81.82%,78.79%,196,2,0.00%,3,0.00%,10,40.00%,4,100.00%,0
26/10/2018,1003153,Al-Feiha,10483,Al-Nassr,6780,35,77,79,10,12,3,202,2018,93,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,17,14,18,5,8,1,3,0,0,0,16,0,0,0,0,1,1,0,1,2,0,0,14,0,1,0,0,11,2,56.44%,97.14%,85.71%,88.61%,236,5,40.00%,5,0.00%,8,25.00%,5,100.00%,0
08/02/2019,1003249,Al-Feiha,10483,Al-Ittifaq,5680,68,130,96,14,8,0,202,2018,126,21,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,16,19,14,10,5,8,8,4,1,0,0,14,0,1,0,0,1,0,0,2,3,0,0,11,0,2,0,0,12,6,61.49%,95.59%,89.23%,88.54%,387,0,0.00%,2,50.00%,13,53.85%,10,100.00%,0
30/11/2018,1003189,Al-Feiha,10483,Al-Ahli,6770,44,88,97,15,4,1,202,2018,117,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,21,19,19,19,4,4,5,2,0,0,0,18,0,2,0,3,1,2,0,0,4,0,0,7,0,0,0,0,16,4,63.64%,95.45%,92.05%,91.75%,299,2,50.00%,7,71.43%,11,45.45%,3,100.00%,0
01/11/2018,1003161,Al-Hazm,6846,Al-Baten,9623,33,93,88,16,7,4,202,2018,125,15,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,27,26,20,20,9,6,10,9,2,0,0,21,0,3,0,2,2,5,0,0,4,0,1,5,0,4,0,0,15,3,55.37%,100.00%,84.95%,81.82%,266,2,100.00%,5,0.00%,8,62.50%,3,100.00%,0
30/08/2018,1003238,Al-Hazm,6846,Al-Wahda,6847,38,93,89,7,8,2,202,2018,127,18,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,13,20,23,21,0,7,4,5,0,0,0,19,0,2,0,4,1,2,0,1,4,1,0,3,0,0,0,0,16,3,61.02%,92.11%,88.17%,87.64%,280,5,40.00%,5,60.00%,10,20.00%,6,100.00%,0
18/10/2018,1003145,Al-Hazm,6846,Al-Quadisiya,6775,31,36,65,14,8,1,202,2018,90,24,4,0,0,0,0,0,0,1,4,2,4,1,0,0,1,5,0,20,17,34,17,3,8,5,13,2,0,0,10,0,1,0,1,0,0,0,0,1,0,0,9,0,0,0,0,10,6,47.46%,87.10%,77.78%,72.31%,167,5,60.00%,11,45.45%,11,27.27%,3,100.00%,0
02/12/2018,1003294,Al-Hazm,6846,Al-Ittihad,1316,37,35,42,16,19,0,202,2018,78,11,0,0,0,0,0,2,0,0,1,2,2,0,0,0,1,3,0,7,14,20,19,2,14,4,8,5,0,0,16,0,5,1,8,0,3,0,1,9,0,0,15,0,0,0,0,19,8,49.61%,94.59%,80.00%,92.86%,174,3,33.33%,3,66.67%,12,50.00%,0,0.00%,0
16/03/2019,1003185,Al-Hazm,6846,Al-Ittihad,1316,35,84,56,9,9,2,202,2018,102,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,21,25,19,1,5,3,2,1,1,0,16,1,4,0,6,0,3,0,0,7,0,0,5,1,0,2,0,13,0,54.78%,94.29%,88.10%,85.71%,230,1,100.00%,4,25.00%,6,83.33%,5,100.00%,0
02/03/2019,1003177,Al-Hazm,6846,Al-Feiha,10483,35,101,98,18,12,2,202,2018,137,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,14,24,24,2,11,6,10,1,0,0,14,0,3,0,4,1,2,0,0,5,0,0,9,0,0,0,0,12,0,58.82%,100.00%,91.09%,84.69%,319,2,50.00%,3,33.33%,4,25.00%,17,94.12%,0
20/12/2018,1003213,Al-Hazm,6846,Al-Raed,6773,32,63,48,14,13,2,202,2018,89,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,21,26,17,6,6,5,9,2,0,1,23,0,2,0,0,1,1,0,0,3,0,0,14,0,2,0,0,11,4,54.95%,93.75%,85.71%,81.25%,205,3,33.33%,4,50.00%,7,71.43%,11,100.00%,0
25/10/2018,1003152,Al-Hazm,6846,Al-Ittifaq,5680,28,61,52,14,7,2,202,2018,121,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,26,37,32,14,7,7,7,7,3,0,0,27,0,0,0,1,1,3,0,2,4,0,1,10,0,3,1,0,11,3,57.04%,100.00%,85.25%,71.15%,209,2,50.00%,4,25.00%,6,33.33%,10,100.00%,0
13/02/2019,1003262,Al-Hazm,6846,Al-Baten,9623,48,100,86,12,21,1,202,2018,91,11,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,10,26,24,24,5,12,14,8,2,0,0,19,0,1,0,0,0,0,1,0,2,0,0,12,0,2,1,0,6,4,48.13%,97.92%,81.00%,90.70%,308,3,0.00%,5,60.00%,4,100.00%,7,85.71%,0
05/10/2018,1003137,Al-Hazm,6846,Al-Nassr,6780,42,56,57,14,13,0,202,2018,100,10,2,0,0,0,0,0,0,0,2,1,1,0,1,0,1,2,0,17,27,31,18,3,13,9,9,0,0,0,28,0,6,0,3,2,0,1,2,8,1,0,8,0,4,0,0,20,6,53.85%,80.95%,71.43%,84.21%,196,1,100.00%,5,40.00%,6,16.67%,2,100.00%,0
